,file_name,doc_id
0,connections.txt,5af9dd1fa0cdf12ec023e34e1295f793a3736c5949a7266d63cb26d216d05dc1
1,construction.txt,f19db41bc0413cf985fe1bf8117be01b3553cacebd0b2e38fe511f24bbe0a8d0
2,swimminng.txt,7eea43c63e7ff2e72aa1bf9528a8529b4072927c81cc3c9c659c4ece240db9f8
3,deltares-pond-history.txt,b35111e269c72e343038a18869a324a2714d626e511da308c634a1bde1160f25
4,Characteristics of Ponds Used by Breeding Mottled.pdf,63e5927205a3f5b4aafba4a1e343f5801332d2832aacdb424c14dccbd669f2f1
5,Characteristics of Ponds Used by Breeding Mottled.pdf_5,83c0fd494aa3effd80d8f7d6bc1bec282601f42a8ff6f3fbbcf4285b704eb54f
6,Characteristics of Ponds Used by Breeding Mottled.pdf_6,53989921b39c5b2da5796990b7a84474f2ac788d45718a0cf660ec49db7fd420
7,Characteristics of Ponds Used by Breeding Mottled.pdf_7,defe2adf161d4b38d2843a761b6f42774453e83b28ab58eafeee15558cdccc95
8,Characteristics of Ponds Used by Breeding Mottled.pdf_8,c5fa6e75ea0c354e1f769c0e0ab82df41339eee8bd26ae5550faad5977e99370
9,Characteristics of Ponds Used by Breeding Mottled.pdf_9,7e1c9e3a39a465b49a3a2039f63755a5f521e0957c81b6fee02e3ef867c39a9e
10,Characteristics of Ponds Used by Breeding Mottled.pdf_10,b7efb5ade24703eba51edf205f72dd508384e08206b406d02415ef64942b820e
11,Characteristics of Ponds Used by Breeding Mottled.pdf_11,beb71afe66e71a004bed1170a8a89a2daba79ce13c9bbbaec440dda7026e0862
12,Characteristics of Ponds Used by Breeding Mottled.pdf_12,dda8667ec2de8e3104a98d4b699a5db9128f99b2839486a08ad347993d425afa
13,Geese Raising on Fish Ponds.pdf,5ca0cce3f0ff6cb40ac96325fe135de748230a7a9887f4b1b4bda9c0d87f0215
14,Geese Raising on Fish Ponds.pdf_14,ef086f5860894b85bbe0ae6fc4c3af21a6d3b23d817fced3128752dc0b3294f2
15,Geese Raising on Fish Ponds.pdf_15,731b81f01e129aa6ed61e0106a0ad2785fd23c4cfa0b89e15e77e96a572b7812
16,Geese Raising on Fish Ponds.pdf_16,2143467ba3130ced9e4365911ecde905f0656d33dc96505ee90139989bf88924
17,mproving Geese Production Performance in “Goose-Fish” Production System by Competitive Reduction of Pathogenic Bacteria in Pond Water.pdf,ca8271bbf91a73c18a56927255f79d195ecb748b27e230f367150db69b0cffc1
18,mproving Geese Production Performance in “Goose-Fish” Production System by Competitive Reduction of Pathogenic Bacteria in Pond Water.pdf_18,ceb6da5c41d5957e4b7c5c2c183ef275c258d992d764b5ea8a9189cc4b7f4cce
19,mproving Geese Production Performance in “Goose-Fish” Production System by Competitive Reduction of Pathogenic Bacteria in Pond Water.pdf_19,213dbb479845f23588e213c344108eec85b234c3de06a0e3865b31c27c161323
20,mproving Geese Production Performance in “Goose-Fish” Production System by Competitive Reduction of Pathogenic Bacteria in Pond Water.pdf_20,f260d79e33db430ac3199e011bf10d76e56843921c7186d88a4872097f8b33e0
21,mproving Geese Production Performance in “Goose-Fish” Production System by Competitive Reduction of Pathogenic Bacteria in Pond Water.pdf_21,3c34b3e634428ed32daeeb6a45221649a756238711dc6a9ad379a967b5c73f34
22,mproving Geese Production Performance in “Goose-Fish” Production System by Competitive Reduction of Pathogenic Bacteria in Pond Water.pdf_22,ce947b8fe9a8989e868e581e05e618252c1e50dc01019386056871b941faddf7
23,mproving Geese Production Performance in “Goose-Fish” Production System by Competitive Reduction of Pathogenic Bacteria in Pond Water.pdf_23,8405854147f56fa3a633086e9149248cfa74635c8d082672506893f24cf12a8b
24,mproving Geese Production Performance in “Goose-Fish” Production System by Competitive Reduction of Pathogenic Bacteria in Pond Water.pdf_24,4500f4a2c22ec3fb90295bb8102617eb44fb77f600266697aa389be5bdebd16f
25,mproving Geese Production Performance in “Goose-Fish” Production System by Competitive Reduction of Pathogenic Bacteria in Pond Water.pdf_25,ec25ec39cf2546221483c9b9746d458d52f859ee805f557a631b09155b882d22
26,Aquaculture pond ecosystem model- temperature and dissolved oxygen prediction - mechanism and application.pdf,fa67c778fe203b6d25912e137fdd5ed1612f55cb75b603750d5d285a24b44f29
27,Aquaculture pond ecosystem model- temperature and dissolved oxygen prediction - mechanism and application.pdf_27,9bc2c958ba739d7f043aa527fe32c979eb2fbb22d13291311f6c09b7bbc0a8d3
28,Aquaculture pond ecosystem model- temperature and dissolved oxygen prediction - mechanism and application.pdf_28,bcd3fa213fe24a4a1dcfa9b1619711af8d3936d4031a692ab4dfb0cfd524f7c3
29,Aquaculture pond ecosystem model- temperature and dissolved oxygen prediction - mechanism and application.pdf_29,85df2502a8d870b596843ffe2e5f98b795d87bd02ed38db32b69097ae86955e2
30,Aquaculture pond ecosystem model- temperature and dissolved oxygen prediction - mechanism and application.pdf_30,287dc031a1442d0625d23598628352cf485adf4967db85acbc0f6aff5cd03956
31,Aquaculture pond ecosystem model- temperature and dissolved oxygen prediction - mechanism and application.pdf_31,d6708e45891cc17d6899453aae491e2d9dc07438843a2081d09e69b47e359040
32,Aquaculture pond ecosystem model- temperature and dissolved oxygen prediction - mechanism and application.pdf_32,05389e9bc2e6a37e5940e4c738fee8c0cf6669ed03455d383a07e10bb4d2aedd
33,Aquaculture pond ecosystem model- temperature and dissolved oxygen prediction - mechanism and application.pdf_33,a33ce2598d2efa876f2b1cfe3ad24ba523ddade2bbe16433f4bc16f40071e6e5
34,Aquaculture pond ecosystem model- temperature and dissolved oxygen prediction - mechanism and application.pdf_34,7f2d02b916a430f276a2216ed5d86a890b77b77b30d6c4bffe26d6a8138b9674
35,Aquaculture pond ecosystem model- temperature and dissolved oxygen prediction - mechanism and application.pdf_35,61e344ecbea102980dbd71c80ab56ad903b47109c8278787044fcfc21dad9039
36,Aquaculture pond ecosystem model- temperature and dissolved oxygen prediction - mechanism and application.pdf_36,97c89872febed1384d75098455f17fc4c512888ff54ea449506f1a0c2ea7462d
37,Aquaculture pond ecosystem model- temperature and dissolved oxygen prediction - mechanism and application.pdf_37,25f3f22d62076426e06fa0949f478a19d9e24c7ef2a7b851b90f5715978fe99f
38,Aquaculture pond ecosystem model- temperature and dissolved oxygen prediction - mechanism and application.pdf_38,c791b7a4b41e9bcd2fe1e3e636c0cf32c3c819760a9a3d3ab9cd9cb5e94e9ade
39,Aquaculture pond ecosystem model- temperature and dissolved oxygen prediction - mechanism and application.pdf_39,399a0b3d9f38f6a6a9d9e33bcdbf9c79f0700554c2fcc66a2ce02ee9f6828dd6
40,Aquaculture pond ecosystem model- temperature and dissolved oxygen prediction - mechanism and application.pdf_40,7d584c59c77efe2a10817160bb420894165c98f34604d0b500cba1be03e4d3a2
41,Aquaculture pond ecosystem model- temperature and dissolved oxygen prediction - mechanism and application.pdf_41,e87b7737ee4d1a62fbc55fcca6e8cf0b6079e6f7445237ff5f281972f2cc830e
42,Aquaculture pond ecosystem model- temperature and dissolved oxygen prediction - mechanism and application.pdf_42,c5c27c075d3fdda241b3eac0878567bf706aeacaca10fd0aae9e0dd940615509
43,Aquaculture pond ecosystem model- temperature and dissolved oxygen prediction - mechanism and application.pdf_43,fadeb0e41395b26837008793685e0bc1afbaf4ae06405702645087aa9fde6a00
44,Aquaculture pond ecosystem model- temperature and dissolved oxygen prediction - mechanism and application.pdf_44,1dd93487e85a32927e8a951940e57de12f7abe068578c6983c4fe220c52d41a5
45,Aquaculture pond ecosystem model- temperature and dissolved oxygen prediction - mechanism and application.pdf_45,2e24cfd442804037257b4b272b7bdb2c3d528b6f1d79cf2b66328d7c1f13e95b
46,Aquaculture pond ecosystem model- temperature and dissolved oxygen prediction - mechanism and application.pdf_46,8cdb26ccf3edbfe952317ed417c2f1ad6070f303f366950aa3e5ba1ce67bb0c8
47,Aquaculture pond ecosystem model- temperature and dissolved oxygen prediction - mechanism and application.pdf_47,b9b787c626086deef1b0401f9c4ef147910a7032344d0a5a692b6e3830ba711f
